LIST,SIZE,SPEC
11LCC10-BR005-EB3B-DN300,300,LCC
11LAB01-BR004-GB2B-DN350,350,LAB
11LAB01-BR005-GB2N-DN350,350,LAB
11LAB66-BR005-GA2B-DN350,350,LAB
11LBA30-BR001-GB2B-DN350,350,LBA
11LBA30-BR002-GB2N-DN350,350,LBA
11MBR41-BR001-HC22-DN350,350,MBR
11QHN41-BR001-HC12-DN350,350,QHN
11QHN41-BR002-HC12-DN350,350,QHN
11QHN41-BR003-HC12-DN350,350,QHN
11QHN41-BR004-HC12-DN350,350,QHN
11QHN41-BR005-HC12-DN350,350,QHN
11QHN41-BR006-HC12-DN350,350,QHN
11HAD10-BR191-HB3N-DN400,400,HAD
11HAD10-BR192-HB3N-DN400,400,HAD
11LBA10-BR001-BA1B-DN400,400,LBA
11LBA10-BR002-BA1N-DN400,400,LBA
11LBB10-BR191-GA1N-DN450,450,LBB
11LBC10-BR191-HB3N-DN450,450,LBC
11LBC10-BR192-HB3N-DN450,450,LBC
11LBA10-BR191-GA1N-DN500,500,LBA
11LBA10-BR193-GA1N-DN500,500,LBA
11LCQ20-BR501-HB3N-DN600,600,LCQ
11LBB10-BR001-DA3N-DN650,650,LBB
11LBB10-BR002-DA3N-DN650,650,LBB
11LBC10-BR001-DA6N-DN650,650,LBC
11LBC10-BR004-DA6N-DN650,650,LBC

10GHD41-BR301-HB41-DN15,15,GHD
10GHD41-BR401-HB41-DN15,15,GHD
10GHD41-BR402-HB41-DN15,15,GHD
10GHD41-BR403-HB41-DN15,15,GHD
10GKA41-BR301-HC21-DN15,15,GKA
10QCD41-BR0312-HC21-DN15,15,QCD
10QCD41-BR0320-HC21-DN15,15,QCD
10QCD41-BR194-HC21-DN15,15,QCD
10QCD41-BR195-HC21-DN15,15,QCD
10QCD41-BR196-HC21-DN15,15,QCD
10QCD41-BR197-HC21-DN15,15,QCD
10QCD41-BR198-HC21-DN15,15,QCD
10QCD41-BR301-HC21-DN15,15,QCD
10QCD41-BR302-HC21-DN15,15,QCD
10QCD41-BR303-HC21-DN15,15,QCD
10QCD41-BR304-HC21-DN15,15,QCD
10QCD41-BR305-HC21-DN15,15,QCD
10QCD41-BR306-HC21-DN15,15,QCD
10QCD41-BR307-HC21-DN15,15,QCD
10QCD41-BR308-HC21-DN15,15,QCD
10QCD41-BR309-HC21-DN15,15,QCD
10QCD41-BR310-HC21-DN15,15,QCD
10QCD41-BR311-HC21-DN15,15,QCD
10QCD41-BR313-HC21-DN15,15,QCD
10QCD41-BR314-HC21-DN15,15,QCD
10QCD41-BR315-HC21-DN15,15,QCD
10QCD41-BR316-HC21-DN15,15,QCD
10QCD41-BR317-HC21-DN15,15,QCD
10QCD41-BR318-HC21-DN15,15,QCD
