"CAESAR II 2018  Ver.10.00.00.7700,  (Build 170726)   Date: NOV 16, 2024   Time: 16:18",,,,,,,,,,
Job Name: TB_LB_09_BFP_SUCTION_LINE,,,,,,,,,,
Licensed To: SPLM: Aceplant Co.Ltd,,,,,,,,,,
RESTRAINT SUMMARY EXTENDED REPORT: Loads On Restraints,,,,,,,,,,
Various Load Cases,,,,,,,,,,
,,,,,,,,,,
Node,Load Case,FX N. ,FY N. ,FZ N. ,MX N.m.  ,MY N.m.  ,MZ N.m.  ,DX mm.,DY mm.,DZ mm.
 ,,,,,,,,,,
LOAD CASE DEFINITION KEY,,,,,,,,,,
,,,,,,,,,,
CASE 4 (HYD) WW+HP+H,,,,,,,,,,
CASE 5 (SUS) W+P1+H,,,,,,,,,,
CASE 6 (OPE) W+D1+T1+P1+H,,,,,,,,,,
CASE 7 (OPE) W+D2+T2+P1+H,,,,,,,,,,
CASE 8 (OPE) W+D1+T1+P1+H+U1,,,,,,,,,,
CASE 9 (OPE) W+D1+T1+P1+H-U1,,,,,,,,,,
CASE 10 (OPE) W+D1+T1+P1+H+U2,,,,,,,,,,
CASE 11 (OPE) W+D1+T1+P1+H-U2,,,,,,,,,,
CASE 12 (OPE) W+D1+T1+P1+H+U3,,,,,,,,,,
CASE 13 (OPE) W+D1+T1+P1+H-U3,,,,,,,,,,
CASE 14 (OPE) W+D1+T1+P1+H+WIN1,,,,,,,,,,
CASE 15 (OPE) W+D1+T1+P1+H+WIN2,,,,,,,,,,
CASE 16 (OPE) W+D1+T1+P1+H+WIN3,,,,,,,,,,
CASE 17 (OPE) W+D1+T1+P1+H+WIN4,,,,,,,,,,
, 11(OPE),0,-1422,0,0,0,0,-0.011,-3,-19.018
, 12(OPE),0,0,0,0,0,0,2.016,1.802,-18.56
, 13(OPE),0,0,0,0,0,0,1.761,2.428,-18.615
, 14(OPE),2326,0,0,0,0,0,3,2.572,-18.581
, 15(OPE),-2105,0,0,0,0,0,-3,2.093,-18.561
, 16(OPE),0,3586,0,0,0,0,2.817,3,-18.448
, 17(OPE),0,-908,0,0,0,0,0.483,-3,-18.987
, 18(OCC),1788,0,0,0,0,0,1.112,0.048,0.001
, 19(OCC),-2528,0,0,0,0,0,-4.888,0.221,0.03
, 20(OCC),396,3430,0,0,0,0,1.112,0.885,0.188
, 21(OCC),0,-1422,0,0,0,0,-1.899,-5.115,-0.431
, 22(OCC),0,0,0,0,0,0,0.127,-0.313,0.027
, 23(OCC),0,0,0,0,0,0,-0.127,0.313,-0.027
, 24(OCC),2326,0,0,0,0,0,1.112,0.457,0.007
, 25(OCC),-2105,0,0,0,0,0,-4.888,-0.021,0.027
, 26(OCC),0,3586,0,0,0,0,0.929,0.885,0.139
, 27(OCC),0,-908,0,0,0,0,-1.406,-5.115,-0.4
, 28(OCC),1788,0,0,0,0,0,0.476,-0.433,-0.046
, 29(OCC),-2528,0,0,0,0,0,-5.524,-0.26,-0.017
, 30(OCC),396,3430,0,0,0,0,0.476,0.404,0.141
, 31(OCC),0,-1422,0,0,0,0,-2.534,-5.596,-0.477
, 32(OCC),0,0,0,0,0,0,-0.508,-0.794,-0.019
, 33(OCC),0,0,0,0,0,0,-0.762,-0.168,-0.074
, 34(OCC),2326,0,0,0,0,0,0.476,-0.024,-0.04
, 35(OCC),-2105,0,0,0,0,0,-5.524,-0.502,-0.02
, 36(OCC),0,3586,0,0,0,0,0.294,0.404,0.093
, 37(OCC),0,-908,0,0,0,0,-2.041,-5.596,-0.446
, 38(EXP),0,0,0,0,0,0,2.524,2.596,-18.541
, 39(EXP),0,456,0,0,0,0,2.156,3.481,-23.241
, 40(OCC),2326,3586,0,0,0,0,0.476,0.404,0.141
, 41(OCC),-2528,-1422,0,0,0,0,-5.524,-5.596,-0.477
,    MAX ,    -2528/L9,     3586/L16,,,,,   -5.524/L29,   -5.596/L31,  -23.287/L7
,,,,,,,,,,
100,,TYPE=Rigid X w/gap; Rigid Y w/gap;,,,,,,,,
,  4(HYD),0,0,0,0,0,0,-0.56,-0.396,-0.066
,  5(SUS),0,0,0,0,0,0,-0.58,-0.464,-0.084
,  6(OPE),1835,0,0,0,0,0,3,-7.103,-30.501
,  7(OPE),2758,-1114,0,0,0,0,3,-8,-38.224
,  8(OPE),5399,0,0,0,0,0,3,-7.083,-30.5
